Stk name,Mkt Price,Mkt Cap,Price chg compared to 1 Jan 2026,Sector
160 HEALTH INTERNATIONAL LIMITED,16.46HKD,693M,-70.11%,Pharmaceuticals Wholesale
1957 & CO. (HOSPITALITY) LIMITED,0.2700HKD,13.23M,-34.15%,Commercial Food Services
360 LUDASHI HOLDINGS LIMITED,0.8200HKD,28.15M,-6.82%,Internet Gaming
361 DEGREES INTERNATIONAL LIMITED,4.950HKD,1.39B,-18.15%,Sports & Outdoor Footwear
3D MEDICINES INC.,3.220HKD,100M,-39.59%,Bio Therapeutic Drugs
3DG HOLDINGS (INTERNATIONAL) LIMITED,0.4800HKD,16.52M,-7.69%,Jewelry & Watch Retailers
3SBIO INC.,19.20HKD,6.06B,-20.55%,Biopharmaceuticals
5100 XIZANG GLACIER COMPANY LIMITED,0.4900HKD,348M,-14.04%,Other Non-Alcoholic Beverages
7ROAD HOLDINGS LIMITED,0.6000HKD,217M,22.45%,Internet Gaming
A & S GROUP (HOLDINGS) LIMITED,0.1430HKD,16.59M,44.44%,Freight Logistics
A METAVERSE COMPANY,0.0600HKD,16.48M,-.--%,Other Textiles & Leather Goods
"A-LIVING SMART CITY SERVICES CO., LTD.",2.400HKD,440M,5.26%,Other Real Estate Services
A.PLUS GROUP HOLDINGS LIMITED,0.2300HKD,11.74M,1.32%,Other Commercial Printing Services
AAC TECHNOLOGIES HOLDINGS INC.,43.22HKD,6.17B,11.23%,Electronic Component
"AB&B BIO-TECH CO., LTD. JS",29.32HKD,1.47B,-27.14%,Biopharmaceuticals
ABBISKO CAYMAN LIMITED,10.16HKD,908M,-21.91%,Bio Therapeutic Drugs
ABC MULTIACTIVE LIMITED,0.0810HKD,6.2M,1.25%,Financial Technology (Fintech) (NEC)
ABLE ENGINEERING HOLDINGS LIMITED,0.5900HKD,151M,-13.24%,Other Construction & Engineering
ACCEL GROUP HOLDINGS LIMITED,1.760HKD,179M,-2.22%,Building Contractors
ACESO LIFE SCIENCE GROUP LIMITED,0.1090HKD,124M,-2.68%,Heavy Machinery & Vehicles Wholesale
ACME INTERNATIONAL HOLDINGS LIMITED,0.4700HKD,62.97M,-11.32%,Construction Machinery
ACOTEC SCIENTIFIC HOLDINGS LIMITED,9.700HKD,371M,-27.48%,Medical Equipment
ACTIVATION GROUP HOLDINGS LIMITED,0.9200HKD,89.35M,-13.21%,Other Leisure & Recreation
ADICON HOLDINGS LIMITED,4.620HKD,415M,9.22%,Medical & Diagnostic Laboratories
ADTIGER CORPORATIONS LIMITED,0.1800HKD,20.59M,12.50%,Advertising Agency
AEON CREDIT SERVICE (ASIA) COMPANY LIMITED,8.610HKD,461M,18.92%,Consumer Credit Cards Services
"AEON STORES (HONG KONG) CO., LIMITED",0.2700HKD,9.13M,-31.65%,Retail - Department Stores
AESO HOLDING LIMITED,0.1750HKD,5.36M,32.58%,Other Construction & Engineering
AGILE GROUP HOLDINGS LIMITED,0.2160HKD,145M,-20.00%,Other Real Estate Development & Operations
AGRICULTURAL BANK OF CHINA LIMITED,5.940HKD,329B,2.60%,Commercial Banks
AGTECH HOLDINGS LIMITED,0.6900HKD,1.03B,243.28%,Transaction & Payment Services
AHSAY BACKUP SOFTWARE DEVELOPMENT COMPANY LIMITED,0.0520HKD,14.04M,126.09%,Other Computer Hardware
AI ENERGY ENGINEERING HOLDINGS LIMITED,1.310HKD,49.28M,-34.50%,Other Construction & Engineering
AI HEALTH TECHNOLOGY LIMITED,0.4900HKD,22.56M,1.03%,Kitchen Appliances
AI X TECH INC.,0.2650HKD,38.72M,39.47%,Advertising Agency
AIA GROUP LIMITED,86.10HKD,113B,7.76%,Other Life & Health Insurance
AIDIGONG MATERNAL & CHILD HEALTH LIMITED,1.310HKD,32.13M,-.--%,Other Healthcare Facilities & Services
"AIM VACCINE CO., LTD.",2.400HKD,376M,-25.23%,Biopharmaceuticals
"AINNOVATION TECHNOLOGY GROUP CO., LTD",4.560HKD,327M,-19.29%,Enterprise Software
AIR CHINA LIMITED,4.740HKD,15.39B,-32.81%,Other Airlines
AJISEN (CHINA) HOLDINGS LIMITED,0.9800HKD,134M,13.95%,Other Restaurants & Bars
AK MEDICAL HOLDINGS LIMITED,5.950HKD,871M,4.39%,Medical Devices & Implants
"AKESO, INC.",116.70HKD,14.11B,3.45%,Bio Therapeutic Drugs
ALCO HOLDINGS LIMITED,0.6300HKD,4.61M,-77.34%,Other Computer Hardware
