S.No.,Company Name,Code,Sector
1,17LIVE,VT1.SI,Software & IT Services
2,17LIVE GROUP,LVR.SI,
3,3Cnergy Ltd,PPC.SI,
4,5E Resources,NLC.SI,Industrial & Commercial Services
5,8Telecom,AZG.SI,Technology Equipment
6,9R,1Y1.SI,Industrial Goods
7,A-Smart,BQC.SI,Industrial & Commercial Services
8,A-Sonic Aero,BTJ.SI,Transportation
9,Abterra,L5I.SI,Energy - Fossil Fuels
10,Accrelist Ltd,QZG.SI,Technology Equipment
11,Acesian Partners,5FW.SI,Industrial & Commercial Services
12,Acma,AYV.SI,Industrial Goods
13,AcroMeta,43F.SI,Industrial & Commercial Services
14,Addvalue Tech,A31.SI,Technology Equipment
15,Advanced,BLZ.SI,Energy - Fossil Fuels
16,Advanced Systems,5TY.SI,Technology Equipment
17,Advancer Global,43Q.SI,Industrial & Commercial Services
18,Adventus,5EF.SI,Real Estate
19,Aedge Group,XVG.SI,Industrial & Commercial Services
20,AEM SGD,AWX.SI,Technology Equipment
21,AEM USD,XWA.SI,
22,AF Global,L38.SI,Cyclical Consumer Services
23,AGV,1A4.SI,Holding Companies
24,Alita Resources,40F.SI,Mineral Resources
25,Alliance HC,MIJ.SI,Healthcare Services
26,AlphaDX,VVL.SI,Software & IT Services
27,Alpina Holdings,ZXY.SI,Industrial & Commercial Services
28,Alset,40V.SI,Real Estate
29,Amara,A34.SI,Cyclical Consumer Services
30,Amcorp Global,S9B.SI,Real Estate
31,AMOS Group,49B.SI,Industrial Goods
32,Amplefield Ltd,AOF.SI,Real Estate
33,AMTD IDEA OV,HKB.SI,Banking & Investment Services
34,AnAn Intl,Y35.SI,Energy - Fossil Fuels
35,Anchun Intl,BTX.SI,Industrial Goods
36,AnnAik,A52.SI,Mineral Resources
37,Annica,5AL.SI,Energy - Fossil Fuels
38,Aoxin Q & M,1D4.SI,Healthcare Services
39,AP Oil,5AU.SI,Chemicals
40,AP Strategic,5RA.SI,Cyclical Consumer Services
41,APAC Realty,CLN.SI,Real Estate
42,Ascent Bridge,AWG.SI,Mineral Resources
43,Asia Enterprises,A55.SI,Mineral Resources
44,Asia Vets,5RE.SI,Healthcare Services
45,AsiaPhos,5WV.SI,Chemicals
46,Asiatic,5CR.SI,Industrial Goods
47,ASL Marine,A04.SI,Industrial Goods
48,Aspen,1F3.SI,Real Estate
49,Aspial Corp,A30.SI,Cyclical Consumer Products
50,Aspial Lifestyle,5UF.SI,Retailers
51,Astaka,42S.SI,Real Estate
52,Atlantic Nav,5UL.SI,Energy - Fossil Fuels
53,Audience,1AZ.SI,Cyclical Consumer Services
54,AusGroup,5GJ.SI,Energy - Fossil Fuels
55,Avarga,U09.SI,Cyclical Consumer Products
56,Avi-Tech Hldg,1R6.SI,Technology Equipment
57,AVJennings A$,A05.SI,Real Estate
58,Axington,42U.SI,Industrial & Commercial Services
59,Axington R,IXOR.SI,
60,Axington R1,QPQR.SI,
61,Azeus,BBW.SI,Software & IT Services
62,Aztech Gbl,8AZ.SI,Industrial Goods
63,B&M Hldg,CJN.SI,Banking & Investment Services
64,BACUI TECH,YYB.SI,Industrial & Commercial Services
65,Baker Technology,BTP.SI,Energy - Fossil Fuels
66,Ban Leong,B26.SI,Technology Equipment
67,Banyan Tree,B58.SI,Cyclical Consumer Services
68,BBR,KJ5.SI,Industrial & Commercial Services
69,Beng Kuang,BEZ.SI,Industrial & Commercial Services
70,Best World,CGN.SI,Retailers
71,Beverly JCG,VFP.SI,Healthcare Services
72,BH Global,BQN.SI,Industrial Goods
73,Biolidics,8YY.SI,Healthcare Services
74,BlackGoldNatural,41H.SI,Energy - Fossil Fuels
75,Boldtek,5VI.SI,Real Estate
76,Bonvests,B28.SI,Cyclical Consumer Services
77,Boustead,F9D.SI,Industrial & Commercial Services
78,Boustead Proj,AVM.SI,Industrial & Commercial Services
79,BRC Asia,BEC.SI,Cyclical Consumer Products
80,Broadway Ind,B69.SI,Industrial Goods
81,Brook Crompton,AWC.SI,Industrial Goods
82,Bukit Sembawang,B61.SI,Real Estate
83,Bumitama Agri,P8Z.SI,Food & Beverages
84,Bund Center,BTE.SI,Real Estate
85,Camsing Hc,BAC.SI,Retailers
86,Capital World,1D5.SI,Real Estate
87,CapitaLandInvest,9CI.SI,Real Estate
88,Captii,AWV.SI,Telecommunications Services
89,Casa,C04.SI,Cyclical Consumer Products
90,CDW,BXE.SI,Technology Equipment
91,Centurion,OU8.SI,Real Estate
92,CFM,5EB.SI,Industrial Goods
93,CH Offshore,C13.SI,Energy - Fossil Fuels
94,Charisma Energy,5QT.SI,Utilities
95,Chasen,5NV.SI,Transportation
96,Chemical Ind,C05.SI,Chemicals
97,China Aviation,G92.SI,Transportation
98,China Env,5OU.SI,Industrial & Commercial Services
99,China Env Res,RS1.SI,Automobiles & Auto Parts
100,China Everbright,U9E.SI,Utilities
101,China Fishery,B0Z.SI,Food & Beverages
102,China Intl,BEH.SI,Industrial & Commercial Services
103,China Mining,BHD.SI,Real Estate
104,China Yuanbang,BCD.SI,Real Estate
105,ChinaKangdaFood,P74.SI,Food & Beverages
106,ChinaKundaTech,GU5.SI,Chemicals
107,ChinaSunsine,QES.SI,Chemicals
108,Choo Chiang,42E.SI,Industrial Goods
109,Chuan Hup,C33.SI,Real Estate
110,CityDev,C09.SI,Real Estate
111,Civmec,P9D.SI,Industrial & Commercial Services
112,Clearbridge,1H3.SI,Healthcare Services
113,CNMC Goldmine,5TP.SI,Mineral Resources
114,Comba,STC.SI,
115,Combine Will,N0Z.SI,Personal & Household Products & Services
116,ComfortDelGro,C52.SI,Transportation
117,Cordlife,P8A.SI,Healthcare Services
118,Cortina,C41.SI,Retailers
119,COSCO SHP SG,F83.SI,Transportation
120,CosmoSteel,B9S.SI,Mineral Resources
121,Courage Inv,CIN.SI,Transportation
122,Creative,C76.SI,Technology Equipment
123,CreditBureauAsia,TCU.SI,Industrial & Commercial Services
124,CSC,C06.SI,Industrial & Commercial Services
125,Darco Water Tech,BLR.SI,Utilities
126,Datapulse Tech,BKW.SI,Real Estate
127,DBS,D05.SI,Banking & Investment Services
128,Debao Property,BTF.SI,Real Estate
129,Del Monte Pac,D03.SI,Food & Beverages
130,Delfi,P34.SI,Food & Beverages
131,DFIRG USD,D01.SI,Food & Drug Retailing
132,Digilife Tech,BAI.SI,Telecommunications Services
133,Don Agro,GRQ.SI,Food & Beverages
134,Dragon,MT1.SI,Industrial Goods
135,Duty Free Intl,5SO.SI,Retailers
136,Dyna-Mac,NO4.SI,Energy - Fossil Fuels
137,Econ Healthcare,EHG.SI,Healthcare Services
138,EcoWise,5CT.SI,Industrial & Commercial Services
139,Edition,5HG.SI,Food & Beverages
140,Eindec,42Z.SI,Industrial & Commercial Services
141,Ellipsiz,BIX.SI,Technology Equipment
142,Emperador Inc.,EMI.SI,Food & Beverages
143,Eneco Energy,R14.SI,Energy - Fossil Fuels
144,EnGro,S44.SI,Mineral Resources
145,Envictus,BQD.SI,Cyclical Consumer Services
146,Enviro-Hub,L23.SI,Industrial & Commercial Services
147,ES,5RC.SI,Industrial Goods
148,ETC Singapore,1C0.SI,Real Estate
149,EuroSports Gbl,5G1.SI,Retailers
150,Ever Glory,ZKX.SI,Industrial & Commercial Services
151,Ezra,5DN.SI,Energy - Fossil Fuels
152,F & N,F99.SI,Food & Beverages
153,Falcon Energy,5FL.SI,Energy - Fossil Fuels
154,Far East,5TJ.SI,Industrial Goods
155,Far East Orchard,O10.SI,Cyclical Consumer Services
156,Federal Int,BDU.SI,Energy - Fossil Fuels
157,Figtree,5F4.SI,Real Estate
158,First Resources,EB5.SI,Food & Beverages
159,First Sponsor,ADN.SI,Real Estate
160,FJ Benjamin,F10.SI,Retailers
161,Food Empire,F03.SI,Food & Beverages
162,Forise Int,8A1.SI,Industrial & Commercial Services
163,FortressMinerals,OAJ.SI,Mineral Resources
164,Frasers Property,TQ5.SI,Real Estate
165,Frencken,E28.SI,Industrial Goods
166,Fu Yu,F13.SI,Industrial Goods
167,Full Apex,BTY.SI,Chemicals
168,Fuxing China,AWK.SI,Cyclical Consumer Products
169,G Invacom,QS9.SI,Technology Equipment
170,Gallant Venture,5IG.SI,Automobiles & Auto Parts
171,GCCP,41T.SI,Mineral Resources
172,GDS Global,5VP.SI,Cyclical Consumer Products
173,Genting Sing,G13.SI,Cyclical Consumer Services
174,Geo Energy Res,RE4.SI,Energy - Fossil Fuels
175,GHY Culture,XJB.SI,Cyclical Consumer Services
176,Global Inv,B73.SI,Collective Investments
177,Global Testing,AYN.SI,Technology Equipment
178,Golden Agri-Res,E5H.SI,Food & Beverages
179,Goodland,5PC.SI,Real Estate
180,GP Industries,G20.SI,Industrial Goods
181,Grand Banks,G50.SI,Cyclical Consumer Products
182,Grand Venture,JLB.SI,Industrial Goods
183,Great Eastern,G07.SI,Insurance
184,Green Build,Y06.SI,Industrial & Commercial Services
185,GRP,BLU.SI,Automobiles & Auto Parts
186,GS Hldg,43A.SI,Industrial & Commercial Services
187,GSH,BDX.SI,Industrial & Commercial Services
188,GSS Energy,41F.SI,Industrial Goods
189,GuocoLand,F17.SI,Real Estate
190,H2G Green,5AI.SI,Cyclical Consumer Products
191,Hafary,5VS.SI,Cyclical Consumer Products
192,Hai Leck,BLH.SI,Industrial & Commercial Services
193,Halcyon Agri,5VJ.SI,Automobiles & Auto Parts
