Industry Name,Number of firms,Average Unlevered Beta,Average Levered Beta,Average correlation with the market,Total Unlevered Beta,Total Levered Beta
Advertising,52,1.01,1.21,21.00%,4.8,5.76
Aerospace/Defense,79,0.87,0.95,31.79%,2.73,2.97
Air Transport,23,0.76,1.19,29.16%,2.6,4.07
Apparel,35,0.79,0.94,26.60%,2.99,3.52
Auto & Truck,33,1.31,1.46,18.49%,7.07,7.88
Auto Parts,35,1.13,1.34,28.18%,4,4.75
Bank (Money Center),15,0.44,0.76,43.40%,1.02,1.75
Banks (Regional),568,0.37,0.4,24.85%,1.51,1.6
Beverage (Alcoholic),14,0.63,0.81,16.23%,3.87,5.01
Beverage (Soft),27,0.58,0.64,11.80%,4.88,5.44
Broadcasting,24,0.32,0.47,14.44%,2.18,3.26
Brokerage & Investment Banking,32,0.68,1.17,46.66%,1.46,2.51
Building Materials,41,0.96,1.11,39.00%,2.46,2.85
Business & Consumer Services,155,0.81,0.89,24.92%,3.23,3.56
Cable TV,9,0.36,0.74,21.90%,1.66,3.38
Chemical (Basic),29,0.64,1.01,26.99%,2.36,3.75
Chemical (Diversified),4,0.41,0.85,36.40%,1.12,2.34
Chemical (Specialty),59,0.82,0.97,31.73%,2.6,3.06
Coal & Related Energy,16,1.18,1.07,26.79%,4.41,4
Computer Services,64,0.96,1.09,25.57%,3.76,4.25
Computers/Peripherals,36,1.32,1.35,32.96%,4.02,4.1
Construction Supplies,40,1.05,1.15,37.10%,2.82,3.1
Diversified,20,0.84,0.88,23.88%,3.53,3.69
Drugs (Biotechnology),496,1.08,1.14,20.68%,5.22,5.49
Drugs (Pharmaceutical),228,0.92,0.98,17.10%,5.35,5.75
Education,32,0.72,0.78,24.48%,2.94,3.19
Electrical Equipment,112,1.19,1.25,24.70%,4.82,5.07
Electronics (Consumer & Office),8,0.93,0.87,19.00%,4.88,4.56
Electronics (General),114,0.94,0.97,29.97%,3.13,3.24
Engineering/Construction,48,1.14,1.21,40.25%,2.83,3.01
Entertainment,92,0.76,0.83,20.13%,3.79,4.1
Environmental & Waste Services,53,0.82,0.95,17.55%,4.7,5.39
Farming/Agriculture,35,0.85,1.13,23.75%,3.56,4.75
Financial Svcs. (Non-bank & Insurance),176,0.33,0.97,27.86%,1.18,3.48
Food Processing,78,0.47,0.61,12.50%,3.76,4.86
Food Wholesalers,13,0.65,0.87,22.09%,2.93,3.92
Furn/Home Furnishings,27,0.65,0.82,23.83%,2.74,3.45
Green & Renewable Energy,15,0.47,0.86,18.07%,2.61,4.74
Healthcare Products,204,0.86,0.91,21.22%,4.04,4.28
Healthcare Support Services,104,0.74,0.87,17.27%,4.31,5.05
Heathcare Information and Technology,115,1.02,1.11,24.73%,4.11,4.48
Homebuilding,30,0.85,0.91,27.97%,3.05,3.26
Hospitals/Healthcare Facilities,31,0.56,0.8,19.70%,2.87,4.06
Hotel/Gaming,63,0.88,1.08,30.17%,2.9,3.58
Household Products,110,0.74,0.82,14.40%,5.15,5.66
Information Services,15,0.76,0.92,26.22%,2.88,3.51
Insurance (General),21,0.58,0.67,18.50%,3.12,3.63
Insurance (Life),20,0.53,0.64,33.07%,1.61,1.95
Insurance (Prop/Cas.),57,0.46,0.48,21.73%,2.1,2.23
Investments & Asset Management,283,0.59,0.66,26.14%,2.25,2.52
Machinery,105,0.89,0.96,36.31%,2.46,2.65
Metals & Mining,73,1.01,1.04,15.65%,6.46,6.66
Office Equipment & Services,14,1.04,1.33,31.74%,3.27,4.2
